critic,arm,n,Brier_score,ECE_10bin,mean_confidence,mean_correctness
gemma-4,legacy_full,8772,0.2512175102599179,0.2581395348837209,0.9410852713178295,0.684906520747834
gemma-4,verdict_only_instructed,1596,0.31919642857142855,0.3176378446115289,0.9894423558897244,0.6760651629072681
gemma-4,verdict_only_neutral,1596,0.3162954260651629,0.31437969924812037,0.9894423558897244,0.681704260651629
gemma-4,verdict_plus_repair,1596,0.2864786967418546,0.28997493734335844,0.943546365914787,0.6585213032581454
gemma-4,verdict_schema_matched,1595,0.31063793103448273,0.30849529780564267,0.9894984326018809,0.6896551724137931
gpt-oss-no-think,legacy_full,46784,0.3799599585328317,0.3886087123803011,0.9202225119699043,0.5371067031463749
gpt-oss-no-think,verdict_only_instructed,1620,0.38376944444444444,0.3811666666666668,0.9459197530864196,0.5666666666666667
gpt-oss-no-think,verdict_only_neutral,1620,0.3921747530864198,0.3947098765432101,0.9391543209876542,0.5444444444444444
gpt-oss-no-think,verdict_plus_repair,1620,0.4010316049382716,0.4040123456790124,0.9188641975308641,0.5271604938271605
gpt-oss-no-think,verdict_plus_repair_reversed,1620,0.4003550617283951,0.39911111111111114,0.9402222222222222,0.5432098765432098
gpt-oss-no-think,verdict_schema_matched,1620,0.4021120370370371,0.40342592592592597,0.9431790123456789,0.5450617283950617
gpt-oss-think,legacy_full,36640,0.32045398545305676,0.33225035480349363,0.9149768831877728,0.58367903930131
qwen3,legacy_full,36451,0.28339266138103203,0.26818770404104153,0.9597352610353627,0.6945488463965324
qwen3-no-think,legacy_full,83039,0.29855594359276966,0.27467551391514833,0.9154491263141415,0.6692517973482339
qwen3-no-think,verdict_only_instructed,3177,0.4301707900535096,0.44134088762983936,0.7780736543909347,0.6418004406672962
qwen3-no-think,verdict_only_neutral,3177,0.4527302171860246,0.4629304375196726,0.7944381491973558,0.6137865911237016
qwen3-no-think,verdict_plus_repair,3177,0.42663534781240164,0.4158860560276991,0.8381082782499212,0.6040289581366068
qwen3-no-think,verdict_schema_matched,3177,0.4249381177211206,0.42738432483474975,0.8111425873465533,0.6333018570978911
